,0,1
0,Коми язык,Русский язык
1,Коми Республикаын котыртӧма вакцинируйтӧм содтӧм серти удж ,В Республике Коми организована работа по наращиванию объёмов вакцинации 
2,Республикаса Юралысь Владимир Уйба пырӧдчис COVID-19-ысь вакцинируйтӧм котыртӧм серти сӧвещаниеӧ.,Глава республики Владимир Уйба принял участие по вопросу организации процесса вакцинации против COVID-19.
3,Сӧвещаниеӧн веськӧдліс Россия Федерацияса Веськӧдлан котырӧн Юрнуӧдысьӧс вежысь Татьяна Голикова.,В совещании под председательством Зампредседателя Правительства Российской Федерации Татьяны Голиковой
4,"Оперативнӧй юӧръяс серти, 2021 вося сора тӧлысь 14 лун вылӧ республикаын медводдза компонентӧн вакцинируйтӧма 160 997 мортӧс, та лыдын вакцинациясӧ помалӧма 117 050 морт.","По оперативным данным, на 14 июля 2021 года в республике привито первым компонентом 160 997 человек, в том числе завершили вакцинацию – 117 050 человек."
5,"Регионын примитӧма помшуӧм пыртны вакцинация нуӧдӧмӧ абу канму эмбур сикаса медицина организацияясӧс, кутшӧмъяс пырӧдчӧны канму гарантияяслӧн мутас уджтасӧ.","В регионе принято решение о подключении к проведению вакцинации медицинских организаций негосударственных форм собственности, участвующих в реализации территориальной программы государственных гарантий."
6,Татшӧм медицина организацияяскӧд кырымалӧма ӧтув уджалӧм йылысь артмӧдчӧмъяс.,С такими медорганизациями заключены соглашения о взаимодействии.
7,"Вакцинация нуӧдсьӧ республикаса став кар-районын, медицина организацияяслӧн 51 юкӧдулын.","Вакцинация проводится во всех городах и районах республики, в 51 подразделении медицинских организаций."
8,"Котыртӧма 173 выезднӧй бригада, прививка вӧчан 129 пункт да 84 мобильнӧй пункт.","Сформированы 173 выездные бригады, 129 прививочных пунктов и 84 мобильных прививочных пункта."
9,"Котыртӧма риск группаӧ пырысь йӧзӧс, кодъяс бурдӧдчӧны стационарын абу вуджан висьӧмысь, стационарысь петігӧн вакцинируйтӧм.","Организовано проведение вакцинации граждан из групп риска, которые лечатся в неинфекционных стационарах, в день выписки из стационара."
10,Сьӧкыда ветлысь гражданаӧс вермӧны вакцинируйтны и налӧн оланінъясын.,Организованы выездные бригады для вакцинации маломобильных граждан по месту их жительства.
