,0,1
0,Коми язык,Русский язык
1,Коми Республикаса Веськӧдлан котыр индіс 2021 воӧ служащӧйяслысь уджсикасын тӧдӧмлун кыпӧдан медшӧр нырвизьяс да велӧдчӧмсӧ сьӧмӧн могмӧдан йӧрыш ,Правительством Республики Коми определены приоритетные направления профессионального развития служащих в 2021 году и объем финансирования обучения 
2,"Быд во Коми Республикаса канму гражданскӧй служащӧйяслысь да Коми Республикаын меставывса асвеськӧдлан органъясын уджалысьяслысь уджсикасын тӧдӧмлунъяс кыпӧдӧм могысь дінму тшупӧдын артмӧдсьӧ содтӧд уджсикасӧ велӧдан уджтасъяслысь лыддьӧг, кутшӧмъясӧс веськӧдӧма уджсикасын тӧдӧмлунъяс да кужанлунъяс кыпӧдӧм вылӧ.","Ежегодно в целях повышения уровня профессионального развития государственных гражданских служащих Республики Коми и сотрудников органов местного самоуправления в Республике Коми на региональном уровне формируется перечень программ дополнительного профессионального образования, направленных на развитие профессиональных и личностных компетенций."
3,"Служащӧйяслӧн квалификация тшупӧдкӧд йитчӧма канму да муниципальнӧй веськӧдлӧмлӧн, дінму да муниципальнӧй тӧдчанлуна власьт органъяс уджлӧн ногтуйыс.","От уровня квалификации служащих во многом зависит качество государственного и муниципального управления и, в частности, качество работы органов власти регионального и муниципального значения. "
4,"А тайӧ тӧдчӧ сы вылӧ, кыдзи олысьяс донъялӧны сетӧм услугаяссӧ.","Которое, в свою очередь, влияет на уровень удовлетворенности населения оказываемыми услугами."
5,"Та могысь 2021 воӧ канмуӧн веськӧдлӧмлӧн медшӧр нырвизьяс серти регионса специалистъяслы збыльмӧдасны уджсикасын содтӧд тӧдӧмлун сетан 35 уджтас, кытчӧ пырӧны регионӧс социальнӧя да экономика боксянь сӧвмӧдӧмкӧд, сьӧмкуд политикакӧд, коррупциялы паныд удж нуӧдӧмкӧд йитчӧм да мукӧд юалӧм.","В этих целях в 2021 году для специалистов региона будут реализованы 35 программ дополнительного профессионального образования по основным направлениям деятельности государственного управления, включающим вопросы социально-экономического развития региона, бюджетной политики, противодействия коррупции и иные вопросы."
6,"Велӧдны кутасны канму заказ да канму задание серти, кутшӧмӧс сетіс Канму службаӧ да веськӧдлыны велӧдан Коми Республикаса академия.","Обучение будет осуществляться в рамках государственного заказа и государственного задания, выданного Коми республиканской академии государственной службы и управления."
7,2021 вося рака тӧлысьӧ збыльмӧдасны велӧдан уджтасъяс татшӧм темаяс серти:,Уже в марте 2021 года будут реализованы программы обучения по следующим темам:
8,правотворчество уджлӧн инӧда подувъяс;,правовые основы правотворческой деятельности;
9,коррупция да мукӧд инӧд торкалӧмъяс ӧлӧдӧм серти канму органъясса да меставывса асвеськӧдлан органъясса юкӧдувъяслӧн уджмогъяс (подув тшупӧд);,функции подразделений государственных органов и органов местного самоуправления по профилактике коррупционных и иных правонарушений (базовый уровень);
10,"канму да муниципальнӧй коланлунъяс могмӧдӧм вылӧ вузӧс, уджъяс, услугаяс юкӧнын контракт система (подув тшупӧд);","контрактная система в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд (базовый уровень);"
11,ӧнія условиеясын ЗАГС органъяслӧн удж;,работа органов ЗАГС в современных условиях;
12,быд боксянь арталӧм веськӧдлан помшуӧмъяс примитан технология;,технология принятия взвешенных управленческих решений.
13,"Водзӧ кежлӧ, содтӧд уджсикасӧ велӧдан уджтасъяссӧ кутасны збыльмӧдны график серти, кутшӧмӧс йӧзӧдӧма Коми Республикаса Юралысьлӧн Администрацияын Канму гражданскӧй службаӧн веськӧдланінлӧн сайтын: http://uggs.rkomi.ru/.","В дальнейшем, программы дополнительного профессионального образования будут реализовываться по графику, размещенному на сайте Управления государственной гражданской службы Администрации Главы Республики Коми: http://uggs.rkomi.ru/."
14,Коми язык,Русский язык
15,Юӧртӧма 2021/2022 велӧдчан воын Веськӧдлан кадръяс дасьтан президентскӧй уджтасӧ специалистъясӧс конкурс серти бӧрйӧм ,Объявлен конкурсный отбор специалистов на Президентскую программу подготовки управленческих кадров в 2021/2022 учебном году 
16,"Конкурсӧ вермӧны пырӧдчыны Коми Республикаса став эмбур сикаса организацияясысь, учреждениеясысь вылыс да шӧр тшупӧда юрнуӧдысьяс, ичӧт да шӧр бизнесӧс петкӧдлысьяс.","К участию в конкурсном отборе приглашаются руководители высшего и среднего звена организаций любой формы собственности, учреждений, представители малого и среднего бизнеса Республики Коми."
17,"Уджтасӧ пырӧдчысьяс велӧдчасны аслыспӧлӧс курс серти, кӧні лоасны дискуссияяс, имитационнӧй, ролевӧй ворсӧмъяс да тренингъяс.","Участники программы пройдут уникальный курс обучения с использованием дискуссий, имитационных, ролевых игр и тренингов."
18,"Лоас и асшӧр удж, проект вылын торйӧн либӧ командакӧд ӧтвылысь зільӧм.","В сочетании с самостоятельной работой, индивидуальной и командной (групповой) работой над проектом, российскую стажировку."
19,"Нӧшта специалистъяслӧн лоас позянлун стажируйтчыны Россияын либӧ суйӧр сайын, кӧні петкӧдласны предприятие либӧ организация сӧвмӧдан проект дасьтан да збыльмӧдан медбур опыт.","Кроме того, специалисты могут бесплатно пройти зарубежную стажировку, предполагающую использование зарубежного опыта для разработки и реализации проекта развития предприятия или организации."
20,"Президентскӧй уджтасӧ вермӧны пырӧдчыны 50 арӧсӧдз арлыда йӧз, кодъяслӧн эм вылыс тшупӧда тӧдӧмлун да 5 воысь абу этшаджык ӧтувъя уджалан стаж, а веськӧдлан уджын опытыс – 2 воысь дырджык.","Участниками Президентской программы могут стать лица в возрасте до 50 лет с высшим образованием и общим стажем работы не менее 5 лет, опытом управленческой деятельности более 2 лет. Кандидаты должны принимать участие в реализации проекта развития своей организации."
21,Уджтасӧ пырӧдчыны кӧсйысьяслы быть колӧ участвуйтны ас организация сӧвмӧдан проект збыльмӧдӧмын.,Кандидаты должны принимать участие в реализации проекта развития своей организации.
22,Коми Республикаын Президентскӧй уджтас серти позьӧ велӧдчыны «Стратегическӧй менеджмент.,В Республике Коми в рамках Президентской программы можно пройти обучение по программе профессиональной переподготовки «Стратегический менеджмент.
23,Инновационнӧя сӧвмӧдӧмӧн веськӧдлӧм» выль уджсикасӧ велӧдчан уджтас серти П. Сорокин нима Сыктывкарса канму университетын.,Управление инновационным развитием» на базе Сыктывкарского государственного университета им. П. Сорокина.
24,"Уджтас серти велӧдчанногыс – очнӧй, дистанционнӧй велӧдан технологияясӧн вӧдитчӧмӧн, уджысь дугӧдчылӧмӧн.","Форма обучения по программе – очная, с применением дистанционных образовательных технологий, с отрывом от профессиональной деятельности."
